Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA,FAMILIA
9380,439,439,9,EQ-2,REGIANE,SITE,ENTREGA TOTAL,7899866830332,"AGENDA PLANNER WIRE-O 2026 CLÁSSICA DIARIA 11,5X16 AZUL CELESTE",40,18/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,80,CLÁSSICA
9381,348,348,8,EQ-2,REGIANE,ATACADO,ENTREGA TOTAL,7899866830332,"AGENDA PLANNER WIRE-O 2026 CLÁSSICA DIARIA 11,5X16 AZUL CELESTE",880,18/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,1760,CLÁSSICA
9382,469,469,9,EQ-2,REGIANE,ATACADO,ENTREGA TOTAL,7899866830769,PLANNER PERMANENTE WIRE-O DOCE FLORADA FINANCEIRO A5 OFF WHITE,350,20/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,700,DOCE FLORADA
9383,470,470,0,EQ-2,REGIANE,LOJA,ENTREGA TOTAL,7899866830769,PLANNER PERMANENTE WIRE-O DOCE FLORADA FINANCEIRO A5 OFF WHITE,20,20/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,40,DOCE FLORADA
9384,470,470,0,EQ-2,REGIANE,SITE,ENTREGA TOTAL,7899866830769,PLANNER PERMANENTE WIRE-O DOCE FLORADA FINANCEIRO A5 OFF WHITE,30,20/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,60,DOCE FLORADA
9385,353,353,3,EQ-3,RENATA S.,ATACADO,ENTREGA TOTAL,7899866830387,AGENDA PLANNER WIRE-O 2026 CLÁSSICA SEMANAL NOTAS C/ DIVISORIAS A5 CARAMELO,720,18/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,1440,CLÁSSICA
9386,443,443,3,EQ-3,RENATA S.,LOJA,ENTREGA TOTAL,7899866830387,AGENDA PLANNER WIRE-O 2026 CLÁSSICA SEMANAL NOTAS C/ DIVISORIAS A5 CARAMELO,50,18/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,100,CLÁSSICA
9387,443,443,3,EQ-3,RENATA S.,SITE,ENTREGA TOTAL,7899866830387,AGENDA PLANNER WIRE-O 2026 CLÁSSICA SEMANAL NOTAS C/ DIVISORIAS A5 CARAMELO,60,18/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,120,CLÁSSICA
9388,474,474,4,EQ-3,RENATA S.,LOJA,ENTREGA TOTAL,7899866830561,CADERNETA CICEROS DOCE FLORADA QUADRICULADO 14X21 OFF WHITE,20,20/06/2025,2025-25,6,2025,2025-06,Brochura,20,DOCE FLORADA
9389,474,474,4,EQ-3,RENATA S.,SITE,ENTREGA TOTAL,7899866830561,CADERNETA CICEROS DOCE FLORADA QUADRICULADO 14X21 OFF WHITE,30,20/06/2025,2025-25,6,2025,2025-06,Brochura,30,DOCE FLORADA
9390,472,472,2,EQ-3,RENATA S.,ATACADO,ENTREGA TOTAL,7899866830561,CADERNETA CICEROS DOCE FLORADA QUADRICULADO 14X21 OFF WHITE,330,20/06/2025,2025-25,6,2025,2025-06,Brochura,330,DOCE FLORADA
9391,447,447,7,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,7899866830424,PLANNER PERMANENTE CADERNETA CICEROS CLÁSSICA 14X21 ROSA ORQUIDEA,450,18/06/2025,2025-25,6,2025,2025-06,Brochura,450,CLÁSSICA
9392,421,421,1,EQ-4,ROSE,LOJA,ENTREGA TOTAL,7899866830424,PLANNER PERMANENTE CADERNETA CICEROS CLÁSSICA 14X21 ROSA ORQUIDEA,10,18/06/2025,2025-25,6,2025,2025-06,Brochura,10,CLÁSSICA
9393,421,421,1,EQ-4,ROSE,SITE,ENTREGA TOTAL,7899866830424,PLANNER PERMANENTE CADERNETA CICEROS CLÁSSICA 14X21 ROSA ORQUIDEA,30,18/06/2025,2025-25,6,2025,2025-06,Brochura,30,CLÁSSICA
9394,330,330,0,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,7899866830479,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL 9X13 OFF WHITE,560,20/06/2025,2025-25,6,2025,2025-06,Brochura,560,DOCE FLORADA
9395,421,421,1,EQ-4,ROSE,LOJA,ENTREGA TOTAL,7899866830479,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL 9X13 OFF WHITE,70,20/06/2025,2025-25,6,2025,2025-06,Brochura,70,DOCE FLORADA
9396,421,421,1,EQ-4,ROSE,SITE,ENTREGA TOTAL,7899866830479,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL 9X13 OFF WHITE,220,20/06/2025,2025-25,6,2025,2025-06,Brochura,220,DOCE FLORADA
9397,368,368,8,EQ-5,ELIANE,ATACADO,ENTREGA TOTAL,7899866830516,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA DIARIA A5 OFF WHITE,960,18/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,1920,DOCE FLORADA
9398,450,450,0,EQ-5,ELIANE,LOJA,ENTREGA TOTAL,7899866830516,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA DIARIA A5 OFF WHITE,90,18/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,180,DOCE FLORADA
9399,450,450,0,EQ-5,ELIANE,SITE,ENTREGA TOTAL,7899866830516,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA DIARIA A5 OFF WHITE,120,18/06/2025,2025-25,6,2025,2025-06,Wire-o com fita,240,DOCE FLORADA
9400,451,451,1,EQ-5,ELIANE,ATACADO,ENTREGA TOTAL,7899866830554,BLOCO WIRE-O DOCE FLORADA PAUTADO 12X20 GARRAFA,550,20/06/2025,2025-25,6,2025,2025-06,Wire-o Simples,550,DOCE FLORADA
9401,451,451,1,EQ-5,ELIANE,LOJA,ENTREGA TOTAL,7899866830554,BLOCO WIRE-O DOCE FLORADA PAUTADO 12X20 GARRAFA,50,20/06/2025,2025-25,6,2025,2025-06,Wire-o Simples,50,DOCE FLORADA
9402,451,451,1,EQ-5,ELIANE,SITE,ENTREGA TOTAL,7899866830554,BLOCO WIRE-O DOCE FLORADA PAUTADO 12X20 GARRAFA,30,20/06/2025,2025-25,6,2025,2025-06,Wire-o Simples,30,DOCE FLORADA
9403,422,422,2,EQ-6,CAIO,LOJA,ENTREGA TOTAL,7899866830486,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL ANOTACOES 14X21 GARRAFA,50,20/06/2025,2025-25,6,2025,2025-06,Brochura,50,DOCE FLORADA
9404,422,422,2,EQ-6,CAIO,SITE,ENTREGA TOTAL,7899866830486,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL ANOTACOES 14X21 GARRAFA,190,20/06/2025,2025-25,6,2025,2025-06,Brochura,190,DOCE FLORADA
9405,331,331,1,EQ-6,CAIO,ATACADO,ENTREGA TOTAL,7899866830486,AGENDA PLANNER CICEROS 2026 DOCE FLORADA SEMANAL ANOTACOES 14X21 GARRAFA,880,20/06/2025,2025-25,6,2025,2025-06,Brochura,880,DOCE FLORADA
9406,454,454,4,EQ-6,CAIO,ATACADO,ENTREGA TOTAL,7899866831124,REFIL CADERNO CRIATIVO ARGOLADO 88 FLS POLEN 80G AGENDA PLANNER 2026 SEMANAL JOURNAL A5 C/ 12 DIVISORIAS,450,18/06/2025,2025-25,6,2025,2025-06,Refil,135,REFIL
9407,454,454,4,EQ-6,CAIO,LOJA,ENTREGA TOTAL,7899866831124,REFIL CADERNO CRIATIVO ARGOLADO 88 FLS POLEN 80G AGENDA PLANNER 2026 SEMANAL JOURNAL A5 C/ 12 DIVISORIAS,50,18/06/2025,2025-25,6,2025,2025-06,Refil,15,REFIL
9408,454,454,4,EQ-6,CAIO,SITE,ENTREGA TOTAL,7899866831124,REFIL CADERNO CRIATIVO ARGOLADO 88 FLS POLEN 80G AGENDA PLANNER 2026 SEMANAL JOURNAL A5 C/ 12 DIVISORIAS,80,18/06/2025,2025-25,6,2025,2025-06,Refil,24,REFIL
9409,370,370,0,EQ-6,CAIO,ATACADO,ENTREGA TOTAL,7899866830530,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA SEMANAL NOTAS C/ DIVISORIAS A5 OFF WHITE,720,23/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,1440,DOCE FLORADA
9410,471,471,1,EQ-6,CAIO,LOJA,ENTREGA TOTAL,7899866830530,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA SEMANAL NOTAS C/ DIVISORIAS A5 OFF WHITE,50,23/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,100,DOCE FLORADA
9411,471,471,1,EQ-6,CAIO,SITE,ENTREGA TOTAL,7899866830530,AGENDA PLANNER WIRE-O 2026 DOCE FLORADA SEMANAL NOTAS C/ DIVISORIAS A5 OFF WHITE,80,23/06/2025,2025-26,6,2025,2025-06,Wire-o com fita,160,DOCE FLORADA
9412,456,456,6,EQ-7,SUELLEN,ATACADO,ENTREGA TOTAL,7899866829145,CALENDARIO DE MESA 20X15 CICEROS 2026 JARDIM,2300,23/06/2025,2025-26,6,2025,2025-06,Calendário com capa,3450,JARDIM
9413,456,456,6,EQ-7,SUELLEN,LOJA,ENTREGA TOTAL,7899866829145,CALENDARIO DE MESA 20X15 CICEROS 2026 JARDIM,80,23/06/2025,2025-26,6,2025,2025-06,Calendário com capa,120,JARDIM
9414,456,456,6,EQ-7,SUELLEN,SITE,ENTREGA TOTAL,7899866829145,CALENDARIO DE MESA 20X15 CICEROS 2026 JARDIM,170,23/06/2025,2025-26,6,2025,2025-06,Calendário com capa,255,JARDIM
9415,457,457,7,EQ-7,SUELLEN,ATACADO,ENTREGA TOTAL,7899866830103,CALENDARIO DE MESA 20X15 CICEROS 2026 BOSSA NOVA,2300,30/06/2025,2025-27,6,2025,2025-06,Calendário com capa,3450,BOSSA NOVA
