Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA,FAMILIA
1,10050-1,10050,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,8132,"PLANNER PERMANENTE OFFICE MINERAIS SEMANAL 30X11,5 MARMORE CINZA",38,23/06/2023,2023-26,6,2023,2023-06,Wire-o Simples,38,MINERAIS
7,10168-4,10168,4,EQ-TODOS,TODOS,SITE,ENTREGA TOTAL,7198,PLANNER PERMANENTE REVISTA PLANEJAMENTO CLASSICA MENSAL 19X25 PRETA,51,23/01/2023,2023-05,1,2023,2023-01,Revistas(Individuais),31,CLÁSSICA
8,10191-3,10191,3,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,3763,CADERNO KRAFT PONTADO - 21X28 KRAFT,200,18/01/2023,2023-04,1,2023,2023-01,Linha Kraft(Produtos em papelão),120,KRAFT
14,10316-4,10316,4,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9031,REFIL CADERNO CRIATIVO ARGOLADO 40FLS OFFSET 90G PONTADO 17X24,320,13/01/2023,2023-03,1,2023,2023-01,Refil,96,Refil
15,10347-2,10347,2,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,7883,#N/A,152,05/01/2023,2023-02,1,2023,2023-01,outros,152,OUTRO
23,10396-4,10396,4,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,8385,#N/A,70,04/01/2023,2023-02,1,2023,2023-01,outros,70,OUTRO
24,10399-3,10399,3,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,3763,CADERNO KRAFT PONTADO - 21X28 KRAFT,400,30/01/2023,2023-06,1,2023,2023-01,Linha Kraft(Produtos em papelão),240,KRAFT
33,10502-3,10502,3,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,7890,PLANNER PERMANENTE WIRE-O ASTRAL SEMANAL NOTAS A5 BOREAL,64,05/01/2023,2023-02,1,2023,2023-01,Wire-o sem fita,77,ASTRAL
35,10511-2,10511,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2605,CADERNETA KRAFT SEM PAUTA 14X21,549,25/01/2023,2023-05,1,2023,2023-01,Linha Kraft(Produtos em papelão),329,KRAFT
36,10514-3,10514,3,EQ-7,MANU,ATACADO,ENTREGA TOTAL,8101,"PLANNER PERMANENTE OFFICE ORLA SEMANAL 30X11,5 ARPOADOR DIAGONAL",114,06/01/2023,2023-02,1,2023,2023-01,Wire-o Simples,114,ORLA
41,10567-4,10567,4,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,1538,CADERNO CRIATIVO ARGOLADO MINERAIS PAUTADO 17X24 MARMORE BRANCO,100,06/01/2023,2023-02,1,2023,2023-01,Argolados,150,MINERAIS
46,10590-2,10590,2,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,7906,#N/A,46,09/01/2023,2023-03,1,2023,2023-01,outros,46,OUTRO
47,10596-4,10596,4,EQ-7,MANU,ATACADO,ENTREGA TOTAL,8118,#N/A,30,06/01/2023,2023-02,1,2023,2023-01,outros,30,OUTRO
57,10655-2,10655,2,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,8347,#N/A,10,05/01/2023,2023-02,1,2023,2023-01,outros,10,OUTRO
58,10662-3,10662,3,EQ-8,ELIANE,ATACADO,ENTREGA TOTAL,8934,#N/A,15,04/01/2023,2023-02,1,2023,2023-01,outros,15,OUTRO
60,10663-4,10663,4,EQ-4,ROSE,SITE,ENTREGA TOTAL,9016,#N/A,80,19/01/2023,2023-04,1,2023,2023-01,outros,80,OUTRO
70,10704-2,10704,2,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,3366,#N/A,100,06/01/2023,2023-02,1,2023,2023-01,outros,100,OUTRO
84,10734-4,10734,4,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,3220,CICEROS FLEX PAUTADO 14X21 PRETO / PRETO,30,17/01/2023,2023-04,1,2023,2023-01,Brochura,30,CLÁSSICA
86,10741-3,10741,3,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,518,PLANNER PERMANENTE WIRE-O KRAFT SEMANAL A5 KRAFT,300,11/01/2023,2023-03,1,2023,2023-01,Wire-o sem fita,360,KRAFT
87,10741-4,10741,4,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,518,PLANNER PERMANENTE WIRE-O KRAFT SEMANAL A5 KRAFT,250,06/01/2023,2023-02,1,2023,2023-01,Wire-o sem fita,300,KRAFT
91,10764-2,10764,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,8866,PLANNER PERMANENTE WIRE-O CLÁSSICA SEMANAL NOTAS A5 CAFÉ,100,19/01/2023,2023-04,1,2023,2023-01,Wire-o sem fita,120,CLÁSSICA
93,10766-2,10766,2,EQ-1,CAIO,ATACADO,ENTREGA TOTAL,8973,PLANNER PERMANENTE WIRE-O CLASSICA SEMANAL A5 PRETO,200,05/01/2023,2023-02,1,2023,2023-01,Wire-o sem fita,240,CLÁSSICA
735,11124-4,11124,4,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,8606,REFIL CADERNO CRIATIVO ARGOLADO OFFICE 40FLS POLEN 80G PONTADO A5,177,24/01/2023,2023-05,1,2023,2023-01,Refil,53,Refil
745,111287-1,11128,1,EQ-TODOS,TODOS,PROTOTIPO,ENTREGA TOTAL,1408,#N/A,28,31/01/2023,2023-06,1,2023,2023-01,outros,28,OUTRO
804,11155-3,11155,3,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9093,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G SEM PAUTA 17X24,779,23/02/2023,2023-09,2,2023,2023-02,Refil,234,Refil
805,11155-3,11155,3,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9093,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G SEM PAUTA 17X24,37,01/03/2023,2023-10,3,2023,2023-03,Refil,11,Refil
833,11167-3,11167,3,EQ-TODOS,TODOS,SITE,ENTREGA TOTAL,1132,PLANNER PERMANENTE REVISTA PLANEJAMENTO CLÁSSICA MENSAL19X25 CARAMELO / CAFÉ,51,23/01/2023,2023-05,1,2023,2023-01,Revistas(Individuais),31,CLÁSSICA
842,11172-2,11172,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2568,CADERNO KRAFT ORIGINAL SEM PAUTA 20X20 KRAFT,1200,13/01/2023,2023-03,1,2023,2023-01,Linha Kraft(Produtos em papelão),720,KRAFT
843,11172-2,11172,2,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,2568,CADERNO KRAFT ORIGINAL SEM PAUTA 20X20 KRAFT,148,09/01/2023,2023-03,1,2023,2023-01,Linha Kraft(Produtos em papelão),89,KRAFT
844,11172-2,11172,2,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,2568,CADERNO KRAFT ORIGINAL SEM PAUTA 20X20 KRAFT,600,17/01/2023,2023-04,1,2023,2023-01,Linha Kraft(Produtos em papelão),360,KRAFT
845,11172-2,11172,2,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,2568,CADERNO KRAFT ORIGINAL SEM PAUTA 20X20 KRAFT,52,13/02/2023,2023-08,2,2023,2023-02,Linha Kraft(Produtos em papelão),31,KRAFT
851,11178-2,11178,2,EQ-TODOS,TODOS,PERSONALIZADO,ENTREGA TOTAL,P45,CICEROS$14x21$COURO SINTETICO,500,27/01/2023,2023-05,1,2023,2023-01,Brochura,500,
886,11198-3,11198,3,EQ-7,MANU,ATACADO,ENTREGA TOTAL,1118,BLOCO WIRE-O CLASSICA PAUTADO 12X20 CARAMELO,350,03/01/2023,2023-02,1,2023,2023-01,Wire-o Simples,350,CLÁSSICA
906,11206-3,11206,3,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,937,CADERNETA CICEROS KRAFT SEM PAUTA 14X21 BOTÂNICA,10,04/01/2023,2023-02,1,2023,2023-01,Brochura,10,KRAFT
911,11208-2,11208,2,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,883,CADERNETA CICEROS ASTRAL PAUTADO 14X21 CARTA LUNAR,10,04/01/2023,2023-02,1,2023,2023-01,Brochura,10,ASTRAL
915,11209-3,11209,3,EQ-5,SUELLEN,ATACADO,ENTREGA TOTAL,838,CADERNETA CICEROS CLÁSSICA PAUTADO 14X21 CARAMELO,10,04/01/2023,2023-02,1,2023,2023-01,Brochura,10,CLÁSSICA
964,11237-1,11237,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,8836,CADERNETA KRAFT PONTADO 14X21 KRAFT,410,11/01/2023,2023-03,1,2023,2023-01,Linha Kraft(Produtos em papelão),246,KRAFT
965,11237-1,11237,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,8836,CADERNETA KRAFT PONTADO 14X21 KRAFT,1235,07/02/2023,2023-07,2,2023,2023-02,Linha Kraft(Produtos em papelão),741,KRAFT
972,11238-4,11238,4,EQ-4,ROSE,ATACADO,ENTREGA TOTAL,8897,CADERNO CRIATIVO ARGOLADO OFFICE DUO JARDIM PAUTADO & PONTADO A5 XADREZ EM LINHAS,58,11/01/2023,2023-03,1,2023,2023-01,Argolados,87,JARDIM
974,11239-2,11239,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,1507,REFIL DIVISÓRIAS C/ ADESIVO CADERNO CRIATIVO 17X24 COLORIDA,100,10/03/2023,2023-11,3,2023,2023-03,Refil,30,Refil
979,11244-2,11244,2,EQ-FIN,MANU,SITE,ENTREGA TOTAL,661,#N/A,50,08/03/2023,2023-11,3,2023,2023-03,outros,50,OUTRO
994,11255-2,11255,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,531,PLANNER PERMANENTE WIRE-O KRAFT SEMANAL NOTAS A5 BOTÂNICA,80,19/01/2023,2023-04,1,2023,2023-01,Wire-o sem fita,96,KRAFT
1008,11268-1,11268,1,EQ-TODOS,TODOS,SITE,ENTREGA TOTAL,9955,#N/A,350,10/01/2023,2023-03,1,2023,2023-01,outros,350,OUTRO
1013,11271-1,11271,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,495,PLANNER PERMANENTE WIRE-O PASTEL SEMANAL A5 ROSA,500,12/01/2023,2023-03,1,2023,2023-01,Wire-o sem fita,600,CLÁSSICA
1014,11271-2,11271,2,EQ-7,MANU,ATACADO,ENTREGA TOTAL,495,PLANNER PERMANENTE WIRE-O PASTEL SEMANAL A5 ROSA,700,13/01/2023,2023-03,1,2023,2023-01,Wire-o sem fita,840,CLÁSSICA
1016,11273-1,11273,1,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,791,#N/A,50,28/02/2023,2023-10,2,2023,2023-02,outros,50,OUTRO
1019,11276-3,11276,3,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,6736,CADERNETA CICEROS CLASSICA PONTADO 14X21 PRETO/PRETO,50,17/01/2023,2023-04,1,2023,2023-01,Brochura,50,CLÁSSICA
1024,11279-2,11279,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,3602,CADERNETA KRAFT ORIGINAL PAUTADO 14X21 KRAFT,1001,17/01/2023,2023-04,1,2023,2023-01,Linha Kraft(Produtos em papelão),601,KRAFT
1025,11279-2,11279,2,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,3602,CADERNETA KRAFT ORIGINAL PAUTADO 14X21 KRAFT,500,23/01/2023,2023-05,1,2023,2023-01,Linha Kraft(Produtos em papelão),300,KRAFT
1038,11289-4,11289,4,EQ-6,MARGO,LOJA,ENTREGA TOTAL,395,#N/A,50,24/01/2023,2023-05,1,2023,2023-01,outros,50,OUTRO
1039,11290-1,11290,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,2544,BLOCO KRAFT ORIGINAL SEM PAUTA 14X21 KRAFT,1000,12/01/2023,2023-03,1,2023,2023-01,Linha Kraft(Produtos em papelão),600,KRAFT
1040,11290-2,11290,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,3763,CADERNO KRAFT PONTADO - 21X28 KRAFT,200,04/01/2023,2023-02,1,2023,2023-01,Linha Kraft(Produtos em papelão),120,KRAFT
1041,11290-3,11290,3,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,2544,BLOCO KRAFT ORIGINAL SEM PAUTA 14X21 KRAFT,320,18/01/2023,2023-04,1,2023,2023-01,Linha Kraft(Produtos em papelão),192,KRAFT
1043,11291-2,11291,2,EQ-1,CAIO,SITE,ENTREGA TOTAL,3206,CICEROS FLEX SEM PAUTA 14X21 PRETO / PRETO,70,16/03/2023,2023-12,3,2023,2023-03,Brochura,70,CLÁSSICA
1045,11293-1,11293,1,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2575,CADERNO KRAFT ORIGINAL SEM PAUTA 21X28 KRAFT,286,10/01/2023,2023-03,1,2023,2023-01,Linha Kraft(Produtos em papelão),172,KRAFT
1046,11293-1,11293,1,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2575,CADERNO KRAFT ORIGINAL SEM PAUTA 21X28 KRAFT,200,18/01/2023,2023-04,1,2023,2023-01,Linha Kraft(Produtos em papelão),120,KRAFT
1047,11293-2,11293,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2575,CADERNO KRAFT ORIGINAL SEM PAUTA 21X28 KRAFT,541,31/01/2023,2023-06,1,2023,2023-01,Linha Kraft(Produtos em papelão),325,KRAFT
1048,11293-2,11293,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2575,CADERNO KRAFT ORIGINAL SEM PAUTA 21X28 KRAFT,307,01/02/2023,2023-06,2,2023,2023-02,Linha Kraft(Produtos em papelão),184,KRAFT
1049,11293-2,11293,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2575,CADERNO KRAFT ORIGINAL SEM PAUTA 21X28 KRAFT,179,25/04/2023,2023-18,4,2023,2023-04,Linha Kraft(Produtos em papelão),107,KRAFT
1051,11294-2,11294,2,EQ-4,ROSE,SITE,ENTREGA TOTAL,9528,#N/A,50,18/01/2023,2023-04,1,2023,2023-01,outros,50,OUTRO
1054,11296-2,11296,2,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,9092,CADERNO ESPIRAL PROJETOS PASTEL BLOCK 17X24,120,19/04/2023,2023-17,4,2023,2023-04,Wire-o Simples,120,Pastel Block Sport
1055,11296-2,11296,2,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,9092,CADERNO ESPIRAL PROJETOS PASTEL BLOCK 17X24,70,16/06/2023,2023-25,6,2023,2023-06,Wire-o Simples,70,Pastel Block Sport
1058,11299-2,11299,2,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,3725,CADERNETA REVISTA NOTAS MIX MIOLOS DIFERENTES KIT 4 UNIDADES 14X21 KRAFT,221,09/01/2023,2023-03,1,2023,2023-01,Kit de revistas,332,NOTAS MIX
1060,11300-2,11300,2,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,2773,CADERNETA CICEROS CLASSICA PAUTADO 14X21 PRETO/PRETO,61,17/01/2023,2023-04,1,2023,2023-01,Brochura,61,CLÁSSICA
1063,11303-1,11303,1,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2537,CADERNETA KRAFT ORIGINAL SEM PAUTA 9X13 KRAFT,300,12/01/2023,2023-03,1,2023,2023-01,Linha Kraft(Produtos em papelão),180,KRAFT
1064,11303-1,11303,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,2537,CADERNETA KRAFT ORIGINAL SEM PAUTA 9X13 KRAFT,400,24/01/2023,2023-05,1,2023,2023-01,Linha Kraft(Produtos em papelão),240,KRAFT
1065,11303-2,11303,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2537,CADERNETA KRAFT ORIGINAL SEM PAUTA 9X13 KRAFT,400,05/01/2023,2023-02,1,2023,2023-01,Linha Kraft(Produtos em papelão),240,KRAFT
1066,11303-2,11303,2,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,2537,CADERNETA KRAFT ORIGINAL SEM PAUTA 9X13 KRAFT,452,24/01/2023,2023-05,1,2023,2023-01,Linha Kraft(Produtos em papelão),271,KRAFT
1068,11307-1,11307,1,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,9023,CADERNO CRIATIVO ARGOLADO OFFICE DUO PASTEL BLOCK PAUTADO & PONTADO A5,64,04/01/2023,2023-02,1,2023,2023-01,Argolados,96,Pastel Block Sport
1069,11307-1,11307,1,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,9023,CADERNO CRIATIVO ARGOLADO OFFICE DUO PASTEL BLOCK PAUTADO & PONTADO A5,136,06/01/2023,2023-02,1,2023,2023-01,Argolados,204,Pastel Block Sport
1070,11307-2,11307,2,EQ-2,PEDRO,ATACADO,ENTREGA TOTAL,9023,CADERNO CRIATIVO ARGOLADO OFFICE DUO PASTEL BLOCK PAUTADO & PONTADO A5,64,04/01/2023,2023-02,1,2023,2023-01,Argolados,96,Pastel Block Sport
1071,11308-1,11308,1,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,2100,CADERNO KRAFT ORIGINAL PAUTADO 21X28 KRAFT,300,23/01/2023,2023-05,1,2023,2023-01,Linha Kraft(Produtos em papelão),180,KRAFT
1090,11328-2,11328,2,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,9048,REFIL CADERNO CRIATIVO ARGOLADO 40FLS OFFSET 90G QUADRICULADO 17X24,89,09/01/2023,2023-03,1,2023,2023-01,Refil,27,Refil
1092,11329-2,11329,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,8590,REFIL CADERNO CRIATIVO ARGOLADO OFFICE 40FLS POLEN 80G PAUTADO A5,100,06/01/2023,2023-02,1,2023,2023-01,Refil,30,Refil
1094,11330-2,11330,2,EQ-TODOS,TODOS,SITE,ENTREGA TOTAL,8613,REFIL CADERNO CRIATIVO ARGOLADO OFFICE 40FLS POLEN 80G QUADRICULADO A5,251,02/02/2023,2023-06,2,2023,2023-02,Refil,75,Refil
1095,11331-1,11331,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,9079,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PONTADO 17X24,1160,23/02/2023,2023-09,2,2023,2023-02,Refil,348,Refil
1096,11331-1,11331,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,9079,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PONTADO 17X24,56,01/03/2023,2023-10,3,2023,2023-03,Refil,17,Refil
1097,11331-2,11331,2,EQ-FIN,MANU,SITE,ENTREGA TOTAL,9079,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PONTADO 17X24,200,08/03/2023,2023-11,3,2023,2023-03,Refil,60,Refil
1100,11332-1,11332,1,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,9062,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PAUTADO 17X24,1699,08/02/2023,2023-07,2,2023,2023-02,Refil,510,Refil
1101,11332-2,11332,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9062,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PAUTADO 17X24,104,15/02/2023,2023-08,2,2023,2023-02,Refil,31,Refil
1102,11332-2,11332,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9062,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PAUTADO 17X24,563,17/02/2023,2023-08,2,2023,2023-02,Refil,169,Refil
1103,11332-2,11332,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9062,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PAUTADO 17X24,696,28/02/2023,2023-10,2,2023,2023-02,Refil,209,Refil
1104,11332-2,11332,2,EQ-6,MARGO,ATACADO,ENTREGA TOTAL,9062,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PAUTADO 17X24,7,23/06/2023,2023-26,6,2023,2023-06,Refil,2,Refil
1145,11357-3,11357,3,EQ-FIN,MANU,SITE,ENTREGA TOTAL,9740,#N/A,5,18/04/2023,2023-17,4,2023,2023-04,outros,5,OUTRO
1146,11357-3,11357,3,EQ-FIN,MANU,SITE,ENTREGA TOTAL,9740,#N/A,10,24/04/2023,2023-18,4,2023,2023-04,outros,10,OUTRO
1147,11357-3,11357,3,EQ-FIN,MANU,SITE,ENTREGA TOTAL,9740,#N/A,5,28/04/2023,2023-18,4,2023,2023-04,outros,5,OUTRO
1148,11357-4,11357,4,EQ-FIN,MANU,LOJA,ENTREGA TOTAL,9740,#N/A,5,24/04/2023,2023-18,4,2023,2023-04,outros,5,OUTRO
1149,11357-4,11357,4,EQ-FIN,MANU,LOJA,ENTREGA TOTAL,9740,#N/A,10,27/04/2023,2023-18,4,2023,2023-04,outros,10,OUTRO
1173,11376-3,11376,3,EQ-6,MARGO,LOJA,ENTREGA TOTAL,388,#N/A,20,24/01/2023,2023-05,1,2023,2023-01,outros,20,OUTRO
1175,11377-2,11377,2,EQ-TODOS,TODOS,ATACADO,ENTREGA TOTAL,371,#N/A,40,24/01/2023,2023-05,1,2023,2023-01,outros,40,OUTRO
1179,11378-2,11378,2,EQ-6,MARGO,LOJA,ENTREGA TOTAL,401,#N/A,15,24/01/2023,2023-05,1,2023,2023-01,outros,15,OUTRO
1181,11379-3,11379,3,EQ-7,MANU,LOJA,ENTREGA TOTAL,173,#N/A,30,09/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
1183,11380-2,11380,2,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,128,#N/A,15,09/01/2023,2023-03,1,2023,2023-01,outros,15,OUTRO
1185,11381-2,11381,2,EQ-TODOS,TODOS,LOJA,ENTREGA TOTAL,135,#N/A,15,06/01/2023,2023-02,1,2023,2023-01,outros,15,OUTRO
1187,11382-2,11382,2,EQ-7,MANU,LOJA,ENTREGA TOTAL,142,#N/A,20,09/01/2023,2023-03,1,2023,2023-01,outros,20,OUTRO
1190,11383-3,11383,3,EQ-1,CAIO,LOJA,ENTREGA TOTAL,326,#N/A,15,10/01/2023,2023-03,1,2023,2023-01,outros,15,OUTRO
1193,11384-3,11384,3,EQ-2,PEDRO,LOJA,ENTREGA TOTAL,340,#N/A,70,10/01/2023,2023-03,1,2023,2023-01,outros,70,OUTRO
1195,11385-2,11385,2,EQ-2,PEDRO,LOJA,ENTREGA TOTAL,357,#N/A,20,12/01/2023,2023-03,1,2023,2023-01,outros,20,OUTRO
1197,11388-2,11388,2,EQ-FIN,MANU,LOJA,ENTREGA TOTAL,449,#N/A,20,09/01/2023,2023-03,1,2023,2023-01,outros,20,OUTRO
1199,11389-2,11389,2,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,12,#N/A,25,06/01/2023,2023-02,1,2023,2023-01,outros,25,OUTRO
1201,11389-3,11389,3,EQ-7,MANU,SITE,ENTREGA TOTAL,12,#N/A,220,11/01/2023,2023-03,1,2023,2023-01,outros,220,OUTRO
1203,11390-2,11390,2,EQ-4,ROSE,LOJA,ENTREGA TOTAL,9955,#N/A,30,06/01/2023,2023-02,1,2023,2023-01,outros,30,OUTRO
1205,11391-2,11391,2,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,9979,#N/A,30,06/01/2023,2023-02,1,2023,2023-01,outros,30,OUTRO
1206,11391-3,11391,3,EQ-1,CAIO,SITE,ENTREGA TOTAL,9979,#N/A,250,12/01/2023,2023-03,1,2023,2023-01,outros,250,OUTRO
1208,11392-2,11392,2,EQ-4,ROSE,LOJA,ENTREGA TOTAL,74,#N/A,10,12/01/2023,2023-03,1,2023,2023-01,outros,10,OUTRO
1210,11393-2,11393,2,EQ-TODOS,TODOS,LOJA,ENTREGA TOTAL,98,#N/A,25,06/01/2023,2023-02,1,2023,2023-01,outros,25,OUTRO
1212,11394-2,11394,2,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,81,#N/A,25,06/01/2023,2023-02,1,2023,2023-01,outros,25,OUTRO
1214,11395-2,11395,2,EQ-4,ROSE,LOJA,ENTREGA TOTAL,104,#N/A,30,11/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
1216,11396-2,11396,2,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,36,#N/A,5,09/01/2023,2023-03,1,2023,2023-01,outros,5,OUTRO
1219,11397-4,11397,4,EQ-TODOS,TODOS,LOJA,ENTREGA TOTAL,43,#N/A,25,09/01/2023,2023-03,1,2023,2023-01,outros,25,OUTRO
1221,11398-2,11398,2,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,29,#N/A,9,09/01/2023,2023-03,1,2023,2023-01,outros,9,OUTRO
1225,11399-3,11399,3,EQ-TODOS,TODOS,LOJA,ENTREGA TOTAL,67,#N/A,30,09/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
1227,11400-2,11400,2,EQ-TODOS,TODOS,LOJA,ENTREGA TOTAL,9856,#N/A,30,06/01/2023,2023-02,1,2023,2023-01,outros,30,OUTRO
1228,11400-3,11400,3,EQ-7,MANU,SITE,ENTREGA TOTAL,9856,#N/A,30,12/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
1230,11401-2,11401,2,EQ-8,ELIANE,LOJA,ENTREGA TOTAL,9863,#N/A,5,06/01/2023,2023-02,1,2023,2023-01,outros,5,OUTRO
1234,11402-4,11402,4,EQ-2,PEDRO,LOJA,ENTREGA TOTAL,9900,#N/A,30,06/01/2023,2023-02,1,2023,2023-01,outros,30,OUTRO
1237,11404-2,11404,2,EQ-7,MANU,LOJA,ENTREGA TOTAL,9894,#N/A,10,06/01/2023,2023-02,1,2023,2023-01,outros,10,OUTRO
1238,11404-3,11404,3,EQ-7,MANU,SITE,ENTREGA TOTAL,9894,#N/A,30,12/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
1240,11405-2,11405,2,EQ-4,ROSE,LOJA,ENTREGA TOTAL,9832,#N/A,40,06/01/2023,2023-02,1,2023,2023-01,outros,40,OUTRO
1241,11405-3,11405,3,EQ-8,ELIANE,SITE,ENTREGA TOTAL,9832,#N/A,30,11/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
1243,11407-2,11407,2,EQ-7,MANU,LOJA,ENTREGA TOTAL,9870,#N/A,10,06/01/2023,2023-02,1,2023,2023-01,outros,10,OUTRO
1244,11407-3,11407,3,EQ-8,ELIANE,SITE,ENTREGA TOTAL,9870,#N/A,30,11/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
1246,11408-2,11408,2,EQ-TODOS,TODOS,LOJA,ENTREGA TOTAL,9924,#N/A,15,06/01/2023,2023-02,1,2023,2023-01,outros,15,OUTRO
1247,11408-3,11408,3,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,9924,#N/A,17,11/01/2023,2023-03,1,2023,2023-01,outros,17,OUTRO
1249,11409-2,11409,2,EQ-4,ROSE,LOJA,ENTREGA TOTAL,258,#N/A,15,10/01/2023,2023-03,1,2023,2023-01,outros,15,OUTRO
1250,11409-3,11409,3,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,258,#N/A,30,13/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
1252,11410-2,11410,2,EQ-4,ROSE,LOJA,ENTREGA TOTAL,319,#N/A,15,10/01/2023,2023-03,1,2023,2023-01,outros,15,OUTRO
1253,11410-3,11410,3,EQ-5,SUELLEN,SITE,ENTREGA TOTAL,319,#N/A,30,13/01/2023,2023-03,1,2023,2023-01,outros,30,OUTRO
