Ordem,OS,OS UNICA,FINAL,EQUIPE,RESPONSAVEL,CANAL,STATUS,CODIGO/CLIENTE,PRODUTO,QTD,DATA DE ENTREGA,SEMANA NO ANO,MES ENTREGA,ANO ENTREGA,ANO-MES entrega,CATEGORIA CONVERSOR,QUANTIDADE PONDERADA
7619,15873-1,15873,1,EQ-7,CASSIA,ATACADO,ENTREGA TOTAL,3433,CADERNETA CICEROS CLÁSSICA SEM PAUTA 9X13 VERMELHO QUENTE,"250,0",22/11/2024,2024-47,11,2024,11-2024,Brochura,250
7620,15412-1,15412,1,EQ-8,MARGO,ATACADO,ENTREGA TOTAL,7325,CALENDARIO DE PAREDE A3 CICEROS 2025 ATELIÊ,"385,0",19/11/2024,2024-47,11,2024,11-2024,Calendário,"288,75"
7621,15467-1,15467,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,7479,PLANNER PERMANENTE WIRE-O KRAFT SEMANAL NOTAS A5 FLORES MAX,"150,0",20/11/2024,2024-47,11,2024,11-2024,Wire-o sem fita,180
7622,15706-1,15706,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,6410,AGENDA PLANNER WIRE-O 2025 CLÁSSICA DIÁRIA A5 CAFÉ,"113,0",22/11/2024,2024-47,11,2024,11-2024,Wire-o com fita,226
7623,15756-1,15756,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,5925,AGENDA PLANNER ARGOLADO 2025 BOSSA NOVA SEMANAL NOTAS A5 BOEMIA,"55,0",20/11/2024,2024-47,11,2024,11-2024,Argolados,"82,5"
7624,15832-1,15832,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,3327,CADERNETA CICEROS CLÁSSICA MIOLO TRI 14X21 CARAMELO,"175,0",21/11/2024,2024-47,11,2024,11-2024,Brochura,175
7625,15778-1,15778,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,7653,CADERNO ESPIRAL MELISSA PAUTADO 20X28 FAVO DE ABELHAS 80 FLS,"200,0",20/11/2024,2024-47,11,2024,11-2024,Wire-o Simples,200
7626,15772-1,15772,1,EQ-8,MARGO,ATACADO,ENTREGA TOTAL,7332,CALENDARIO DE PAREDE A3 CICEROS 2025 KRAFT,"143,0",19/11/2024,2024-47,11,2024,11-2024,Calendário,"107,25"
7627,15738-1,15738,1,EQ-6,ELIANE,ATACADO,ENTREGA TOTAL,6007,AGENDA PLANNER CICEROS 2025 CLÁSSICA SEMANAL 14X21 PRETA,"212,0",22/11/2024,2024-47,11,2024,11-2024,Brochura,212
7628,15919-1,15919,1,EQ-5,CAIO,ATACADO,ENTREGA TOTAL,7059,CADERNO CRIATIVO ARGOLADO OFFICE DUO MELISSA PAUTADO & PONTADO A5 COLMÉIA,"300,0",22/11/2024,2024-47,11,2024,11-2024,Argolados,450
7629,15916-1,15916,1,EQ-3,ROSE,ATACADO,ENTREGA TOTAL,7004,CADERNO CRIATIVO ARGOLADO OFFICE DUO BOSSA NOVA PAUTADO & PONTADO A5 PONTOS OFF WHITE,"150,0",19/11/2024,2024-47,11,2024,11-2024,Argolados,225
7630,15718-1,15718,1,EQ-2,DEYVSON,ATACADO,ENTREGA TOTAL,5819,AGENDA PLANNER ARGOLADO 2025 ASTRAL SEMANAL A6 MARÉ OFF WHITE,"120,0",21/11/2024,2024-47,11,2024,11-2024,Argolados,180
7631,15209-1,15209,1,EQ-8,MARGO,ATACADO,ENTREGA TOTAL,9062,REFIL CADERNO CRIATIVO ARGOLADO 40FLS POLEN 80G PAUTADO 17X24,"1.500,0",21/11/2024,2024-47,11,2024,11-2024,Refil,450
7632,15704-1,15704,1,EQ-1,RAYANE,ATACADO,ENTREGA TOTAL,6304,AGENDA PLANNER CICEROS 2025 PÓLEN DIÁRIA 14X21 AROMAS OFF WHITE,"160,0",22/11/2024,2024-47,11,2024,11-2024,Brochura,160
7633,15492-2,15492,2,EQ-3,ROSE,SITE,ENTREGA TOTAL,3976,PLANNER PERMANENTE WIRE-O MELISSA SEMANAL NOTAS A5 FAVO DE ABELHAS,"150,0",14/11/2024,2024-46,11,2024,11-2024,Wire-o sem fita,180
7634,15959-2,15959,2,EQ-8,MARGO,SITE,ENTREGA TOTAL,5024,REFIL CADERNO CRIATIVO ARGOLADO 99 FLS PÓLEN 80G PLANNER PERMANENTE SEMANAL NOTAS A5 C/ DIVISÓRIAS,"100,0",14/11/2024,2024-46,11,2024,11-2024,Refil,30
